Country Name,Country Code,Indicator Name,Indicator Code,Year,Gini index
United States,USA,Gini index,SI.POV.GINI,1963,37.6
United States,USA,Gini index,SI.POV.GINI,1964,38.1
United States,USA,Gini index,SI.POV.GINI,1965,37.5
United States,USA,Gini index,SI.POV.GINI,1966,37.8
United States,USA,Gini index,SI.POV.GINI,1967,36.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1968,26.8
United States,USA,Gini index,SI.POV.GINI,1968,36.3
United Kingdom,GBR,Gini index,SI.POV.GINI,1969,27.9
United States,USA,Gini index,SI.POV.GINI,1969,36.0
France,FRA,Gini index,SI.POV.GINI,1970,37.1
United Kingdom,GBR,Gini index,SI.POV.GINI,1970,28.0
United States,USA,Gini index,SI.POV.GINI,1970,36.6
Canada,CAN,Gini index,SI.POV.GINI,1971,37.2
United Kingdom,GBR,Gini index,SI.POV.GINI,1971,29.3
United States,USA,Gini index,SI.POV.GINI,1971,36.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1972,28.8
United States,USA,Gini index,SI.POV.GINI,1972,36.7
Canada,CAN,Gini index,SI.POV.GINI,1973,34.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1973,28.8
United States,USA,Gini index,SI.POV.GINI,1973,36.1
United Kingdom,GBR,Gini index,SI.POV.GINI,1974,29.0
United States,USA,Gini index,SI.POV.GINI,1974,35.5
Canada,CAN,Gini index,SI.POV.GINI,1975,34.1
France,FRA,Gini index,SI.POV.GINI,1975,35.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1975,27.9
Sweden,SWE,Gini index,SI.POV.GINI,1975,24.3
United States,USA,Gini index,SI.POV.GINI,1975,35.6
United Kingdom,GBR,Gini index,SI.POV.GINI,1976,27.6
United States,USA,Gini index,SI.POV.GINI,1976,35.6
Canada,CAN,Gini index,SI.POV.GINI,1977,33.7
United Kingdom,GBR,Gini index,SI.POV.GINI,1977,27.1
India,IND,Gini index,SI.POV.GINI,1977,33.2
Italy,ITA,Gini index,SI.POV.GINI,1977,34.0
United States,USA,Gini index,SI.POV.GINI,1977,35.5
United Kingdom,GBR,Gini index,SI.POV.GINI,1978,27.2
Italy,ITA,Gini index,SI.POV.GINI,1978,33.3
United States,USA,Gini index,SI.POV.GINI,1978,34.8
Canada,CAN,Gini index,SI.POV.GINI,1979,33.5
France,FRA,Gini index,SI.POV.GINI,1979,34.0
United Kingdom,GBR,Gini index,SI.POV.GINI,1979,27.4
Israel,ISR,Gini index,SI.POV.GINI,1979,36.3
Italy,ITA,Gini index,SI.POV.GINI,1979,33.3
Norway,NOR,Gini index,SI.POV.GINI,1979,26.9
Panama,PAN,Gini index,SI.POV.GINI,1979,48.7
United States,USA,Gini index,SI.POV.GINI,1979,34.8
Argentina,ARG,Gini index,SI.POV.GINI,1980,40.8
Colombia,COL,Gini index,SI.POV.GINI,1980,55.1
Spain,ESP,Gini index,SI.POV.GINI,1980,34.5
United Kingdom,GBR,Gini index,SI.POV.GINI,1980,28.5
Italy,ITA,Gini index,SI.POV.GINI,1980,32.9
Madagascar,MDG,Gini index,SI.POV.GINI,1980,46.8
United States,USA,Gini index,SI.POV.GINI,1980,34.7
Australia,AUS,Gini index,SI.POV.GINI,1981,31.3
Brazil,BRA,Gini index,SI.POV.GINI,1981,57.9
Canada,CAN,Gini index,SI.POV.GINI,1981,33.0
Costa Rica,CRI,Gini index,SI.POV.GINI,1981,47.5
United Kingdom,GBR,Gini index,SI.POV.GINI,1981,29.7
Italy,ITA,Gini index,SI.POV.GINI,1981,31.6
Sweden,SWE,Gini index,SI.POV.GINI,1981,22.9
Thailand,THA,Gini index,SI.POV.GINI,1981,45.2
Uruguay,URY,Gini index,SI.POV.GINI,1981,43.6
United States,USA,Gini index,SI.POV.GINI,1981,35.5
Venezuela, RB,Gini index,SI.POV.GINI,1981,55.6
Brazil,BRA,Gini index,SI.POV.GINI,1982,58.4
Canada,CAN,Gini index,SI.POV.GINI,1982,32.9
Switzerland,CHE,Gini index,SI.POV.GINI,1982,36.0
United Kingdom,GBR,Gini index,SI.POV.GINI,1982,29.9
Italy,ITA,Gini index,SI.POV.GINI,1982,29.2
United States,USA,Gini index,SI.POV.GINI,1982,36.7
Bangladesh,BGD,Gini index,SI.POV.GINI,1983,25.9
Brazil,BRA,Gini index,SI.POV.GINI,1983,58.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1983,29.8
India,IND,Gini index,SI.POV.GINI,1983,32.0
Italy,ITA,Gini index,SI.POV.GINI,1983,29.8
Netherlands,NLD,Gini index,SI.POV.GINI,1983,28.4
United States,USA,Gini index,SI.POV.GINI,1983,37.3
Brazil,BRA,Gini index,SI.POV.GINI,1984,58.3
Canada,CAN,Gini index,SI.POV.GINI,1984,33.5
France,FRA,Gini index,SI.POV.GINI,1984,33.4
United Kingdom,GBR,Gini index,SI.POV.GINI,1984,29.2
Indonesia,IDN,Gini index,SI.POV.GINI,1984,32.3
Italy,ITA,Gini index,SI.POV.GINI,1984,31.3
Morocco,MAR,Gini index,SI.POV.GINI,1984,36.5
Malaysia,MYS,Gini index,SI.POV.GINI,1984,48.5
United States,USA,Gini index,SI.POV.GINI,1984,37.3
Australia,AUS,Gini index,SI.POV.GINI,1985,32.5
Belgium,BEL,Gini index,SI.POV.GINI,1985,25.2
Bangladesh,BGD,Gini index,SI.POV.GINI,1985,26.9
Brazil,BRA,Gini index,SI.POV.GINI,1985,55.5
Botswana,BWA,Gini index,SI.POV.GINI,1985,54.2
Canada,CAN,Gini index,SI.POV.GINI,1985,33.2
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1985,45.5
Spain,ESP,Gini index,SI.POV.GINI,1985,34.4
United Kingdom,GBR,Gini index,SI.POV.GINI,1985,30.4
Sri Lanka,LKA,Gini index,SI.POV.GINI,1985,32.5
Luxembourg,LUX,Gini index,SI.POV.GINI,1985,26.3
Nigeria,NGA,Gini index,SI.POV.GINI,1985,38.7
Tunisia,TUN,Gini index,SI.POV.GINI,1985,43.4
United States,USA,Gini index,SI.POV.GINI,1985,37.6
Argentina,ARG,Gini index,SI.POV.GINI,1986,42.8
Brazil,BRA,Gini index,SI.POV.GINI,1986,58.4
Canada,CAN,Gini index,SI.POV.GINI,1986,31.7
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1986,38.0
Costa Rica,CRI,Gini index,SI.POV.GINI,1986,34.4
Dominican Republic,DOM,Gini index,SI.POV.GINI,1986,47.8
United Kingdom,GBR,Gini index,SI.POV.GINI,1986,31.9
Guatemala,GTM,Gini index,SI.POV.GINI,1986,54.1
Iran, Islamic Rep.,Gini index,SI.POV.GINI,1986,47.4
Israel,ISR,Gini index,SI.POV.GINI,1986,36.5
Italy,ITA,Gini index,SI.POV.GINI,1986,31.2
Jordan,JOR,Gini index,SI.POV.GINI,1986,36.1
Lesotho,LSO,Gini index,SI.POV.GINI,1986,56.0
Luxembourg,LUX,Gini index,SI.POV.GINI,1986,28.1
Norway,NOR,Gini index,SI.POV.GINI,1986,24.6
United States,USA,Gini index,SI.POV.GINI,1986,37.6
Argentina,ARG,Gini index,SI.POV.GINI,1987,45.3
Brazil,BRA,Gini index,SI.POV.GINI,1987,59.6
Canada,CAN,Gini index,SI.POV.GINI,1987,31.7
Chile,CHL,Gini index,SI.POV.GINI,1987,56.2
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1987,40.5
Denmark,DNK,Gini index,SI.POV.GINI,1987,26.2
Ecuador,ECU,Gini index,SI.POV.GINI,1987,50.5
Finland,FIN,Gini index,SI.POV.GINI,1987,22.2
United Kingdom,GBR,Gini index,SI.POV.GINI,1987,33.9
Ghana,GHA,Gini index,SI.POV.GINI,1987,35.3
Indonesia,IDN,Gini index,SI.POV.GINI,1987,30.4
India,IND,Gini index,SI.POV.GINI,1987,32.5
